Time (ps),Rg (nm),Rg\sX\N,Rg\sY\N,Rg\sZ\N
53300,1.38841,1.15932,1.037,1.19832
53400,1.3799,1.15718,1.03554,1.18187
53500,1.36774,1.15038,1.02195,1.17203
53600,1.37312,1.15362,1.03052,1.17392
53700,1.37206,1.15042,1.0371,1.16879
53800,1.37339,1.14887,1.03516,1.17513
53900,1.38257,1.16383,1.03823,1.17923
54000,1.39251,1.16382,1.05216,1.19022
54100,1.38043,1.15871,1.03313,1.18373
54200,1.38107,1.15906,1.04075,1.17817
54300,1.3834,1.16494,1.03122,1.18621
54400,1.37835,1.15655,1.02811,1.18537
54500,1.37137,1.14854,1.02724,1.17767
54600,1.37902,1.15608,1.03362,1.18258
54700,1.37462,1.15386,1.02699,1.18028
54800,1.37917,1.15604,1.03253,1.18392
54900,1.36685,1.1421,1.0343,1.16721
55000,1.37461,1.15154,1.04332,1.16815
55100,1.37592,1.14921,1.03854,1.17773
55200,1.36746,1.14337,1.03129,1.17005
55300,1.38438,1.16343,1.03399,1.18758
55400,1.38975,1.16414,1.04683,1.18815
55500,1.38558,1.15701,1.04109,1.19042
55600,1.38463,1.16103,1.03684,1.18801
55700,1.38608,1.16809,1.03732,1.18405
55800,1.39051,1.16178,1.04653,1.1925
55900,1.38989,1.16345,1.04284,1.19267
56000,1.37019,1.148,1.03875,1.16531
56100,1.37876,1.15945,1.033,1.17921
56200,1.37799,1.15397,1.03469,1.1813
56300,1.37834,1.15344,1.0362,1.18132
56400,1.37685,1.14985,1.03265,1.18445
56500,1.37599,1.15709,1.03424,1.17397
56600,1.37942,1.1501,1.04234,1.18169
56700,1.37736,1.1521,1.0473,1.1705
56800,1.37381,1.1478,1.04255,1.17061
56900,1.37029,1.14034,1.043,1.16927
57000,1.37972,1.15239,1.04909,1.17416
57100,1.38542,1.157,1.04855,1.18349
57200,1.38047,1.16074,1.03436,1.18075
57300,1.37921,1.15926,1.03321,1.18028
57400,1.37146,1.14978,1.03278,1.17182
57500,1.37619,1.15232,1.03597,1.17759
57600,1.38199,1.15734,1.03456,1.18746
57700,1.38528,1.15748,1.05093,1.1806
57800,1.3715,1.1447,1.03491,1.17502
57900,1.38026,1.1519,1.04227,1.18196
58000,1.37698,1.15629,1.03281,1.17832
58100,1.37464,1.15352,1.0284,1.17944
58200,1.37344,1.15187,1.03694,1.17073
58300,1.37581,1.15417,1.03858,1.1726
58400,1.39356,1.17265,1.04865,1.18711
58500,1.37639,1.15276,1.03449,1.17892
58600,1.38488,1.16802,1.03372,1.18446
58700,1.37521,1.15569,1.03441,1.17337
58800,1.38662,1.16515,1.03746,1.18806
58900,1.37449,1.15556,1.02676,1.1785
59000,1.38402,1.1705,1.03668,1.17739
59100,1.37138,1.14491,1.03327,1.17598
59200,1.38141,1.15836,1.03745,1.18257
59300,1.37566,1.15842,1.03421,1.1719
59400,1.37788,1.1594,1.03389,1.17642
59500,1.38487,1.16149,1.04345,1.18233
59600,1.38077,1.15885,1.03627,1.18163
59700,1.37852,1.15269,1.042,1.17736
59800,1.37994,1.15327,1.03697,1.18453
